game_id,date,home,away,home_score,away_score,spread_home,total
bdb_1022600233,2026-08-07,CON,PHO,75.0,72.0,5.5,173.5
bdb_1022600234,2026-08-07,WAS,ATL,79.0,74.0,6.0,171.5
bdb_1022600235,2026-08-07,DAL,GSV,76.0,94.0,1.0,160.5
bdb_1022600237,2026-08-08,CHI,IND,86.0,90.0,6.0,192.0
bdb_1022600238,2026-08-08,PDX,SEA,100.0,93.0,1.5,180.5
bdb_1022600236,2026-08-08,MIN,LVA,98.0,87.0,-5.0,181.5
bdb_1022600239,2026-08-09,NYL,LVA,111.0,71.0,-12.0,175.0
bdb_1022600242,2026-08-09,LAS,GSV,78.0,84.0,7.0,170.0
bdb_1022600240,2026-08-09,WAS,PHO,95.0,75.0,-1.0,168.5
bdb_1022600241,2026-08-09,MIN,DAL,103.0,90.0,-7.5,179.0
bdb_1022600243,2026-08-10,ATL,TOR,107.0,95.0,-15.0,187.0
bdb_1022600244,2026-08-10,SEA,CHI,97.0,88.0,2.5,179.5
bdb_1022600247,2026-08-11,LAS,PHO,87.0,94.0,-1.5,179.5
bdb_1022600245,2026-08-11,IND,NYL,106.0,92.0,-3.0,190.5
bdb_1022600246,2026-08-11,LVA,WAS,86.0,76.0,-6.0,172.0
bdb_1022600250,2026-08-12,PDX,MIN,81.0,85.0,12.0,187.0
bdb_1022600248,2026-08-12,DAL,TOR,94.0,88.0,-9.0,184.0
bdb_1022600249,2026-08-12,GSV,CHI,91.0,71.0,-7.5,166.5
bdb_1022600252,2026-08-13,NYL,LAS,85.0,81.0,-8.0,186.5
bdb_1022600253,2026-08-13,LVA,WAS,83.0,76.0,-5.5,173.0
bdb_1022600251,2026-08-13,CON,ATL,69.0,104.0,9.5,174.0
bdb_1022600254,2026-08-14,IND,DAL,98.0,87.0,-7.5,186.5
bdb_1022600255,2026-08-14,SEA,PDX,82.0,84.0,-2.0,182.0
bdb_1022600258,2026-08-15,LVA,MIN,87.0,92.0,1.5,182.0
bdb_1022600256,2026-08-15,CON,NYL,75.0,82.0,8.5,172.0
bdb_1022600257,2026-08-15,WAS,LAS,80.0,70.0,-7.5,174.0
bdb_1022600261,2026-08-16,ATL,IND,91.0,95.0,1.0,188.5
bdb_1022600260,2026-08-16,PHO,PDX,85.0,88.0,-4.5,178.0
bdb_1022600259,2026-08-16,SEA,CHI,80.0,82.0,2.5,177.5
bdb_1022600262,2026-08-17,GSV,DAL,78.0,70.0,-5.5,163.5
bdb_1022600265,2026-08-18,CHI,NYL,93.0,86.0,4.5,180.5
bdb_1022600264,2026-08-18,TOR,IND,95.0,101.0,11.5,190.5
bdb_1022600266,2026-08-18,LVA,ATL,82.0,97.0,-3.5,180.0
bdb_1022600263,2026-08-18,CON,LAS,85.0,77.0,2.0,170.5
bdb_1022600267,2026-08-19,WAS,TOR,93.0,82.0,-12.5,170.0
bdb_1022600268,2026-08-19,GSV,MIN,66.0,77.0,2.5,162.5
bdb_1022600271,2026-08-20,LAS,ATL,88.0,124.0,9.0,180.5
bdb_1022600270,2026-08-20,LVA,CON,101.0,78.0,-14.5,168.5
bdb_1022600269,2026-08-20,DAL,IND,91.0,85.0,3.5,186.0
bdb_1022600273,2026-08-21,CHI,GSV,73.0,70.0,6.0,163.5
bdb_1022600274,2026-08-21,TOR,PDX,82.0,79.0,3.0,183.5
bdb_1022600272,2026-08-21,WAS,MIN,84.0,94.0,1.5,166.0
bdb_1022600276,2026-08-22,LAS,CON,77.0,68.0,-5.5,171.5
bdb_1022600277,2026-08-22,PHO,ATL,89.0,99.0,8.0,177.5
bdb_1022600275,2026-08-22,NYL,IND,109.0,102.0,-1.5,187.0
bdb_1022600281,2026-08-23,TOR,LVA,78.0,88.0,12.5,181.0
bdb_1022600280,2026-08-23,PDX,WAS,100.0,105.0,4.5,166.5
bdb_1022600279,2026-08-23,CHI,IND,90.0,113.0,2.0,188.0
bdb_1022600278,2026-08-23,DAL,SEA,92.0,70.0,-8.5,175.5
bdb_1022600282,2026-08-24,MIN,GSV,66.0,80.0,-4.5,160.5
bdb_1022600283,2026-08-24,LAS,ATL,71.0,78.0,10.5,181.5
bdb_1022600284,2026-08-25,CON,CHI,87.0,81.0,8.0,171.0
bdb_1022600285,2026-08-25,DAL,PDX,96.0,78.0,-8.5,178.0
bdb_1022600286,2026-08-25,PHO,WAS,84.0,94.0,2.0,168.5
bdb_1022600287,2026-08-26,CON,GSV,64.0,89.0,14.5,152.5
bdb_1022600288,2026-08-26,SEA,TOR,90.0,78.0,-6.5,173.5
bdb_1022600289,2026-08-27,NYL,GSV,60.0,79.0,-3.5,162.5
bdb_1022600290,2026-08-27,PHO,WAS,73.0,80.0,5.5,165.0
bdb_1022600291,2026-08-28,ATL,PDX,83.0,101.0,-13.5,179.5
bdb_1022600292,2026-08-28,IND,CON,111.0,91.0,-17.5,179.0
bdb_1022600293,2026-08-28,LVA,TOR,93.0,73.0,-16.0,175.0
bdb_1022600294,2026-08-28,LAS,WAS,88.0,82.0,5.0,166.0
bdb_1022600296,2026-08-29,PHO,TOR,101.0,69.0,-8.0,171.5
bdb_1022600295,2026-08-29,NYL,CHI,85.0,66.0,-9.0,182.5
bdb_1022600299,2026-08-30,PDX,GSV,69.0,86.0,6.0,160.5
bdb_1022600297,2026-08-30,ATL,MIN,89.0,81.0,3.0,177.5
bdb_1022600298,2026-08-30,SEA,LAS,74.0,90.0,2.0,174.5
bdb_1022600300,2026-08-30,DAL,CON,97.0,71.0,-16.0,166.5
